,account_id,trans_type,amount,total_withdrawals_5d,num_withdrawals_5d
7,180,WITHDRAWAL,12900.0,12900.0,1
12,72,WITHDRAWAL,7109.0,48609.0,2
13,463,WITHDRAWAL,5100.0,5820.0,2
18,18,WITHDRAWAL,30.0,30.0,1
22,33,WITHDRAWAL,3892.0,3892.0,1
45,57,WITHDRAWAL,10400.0,17507.0,4
47,15,WITHDRAWAL,4440.0,4440.0,1
53,339,WITHDRAWAL,7500.0,7500.0,1
54,99,WITHDRAWAL,14.6,14.6,1
61,372,WITHDRAWAL,14600.0,14600.0,1
67,427,WITHDRAWAL,11000.0,11014.6,2
71,218,WITHDRAWAL,14.6,59814.6,2
72,22,WITHDRAWAL,2800.0,2800.0,1
73,468,WITHDRAWAL,17800.0,18299.0,2
78,478,WITHDRAWAL,3600.0,3600.0,1
89,33,WITHDRAWAL,3892.0,25092.0,2
95,339,WITHDRAWAL,14500.0,18635.0,3
105,400,WITHDRAWAL,2400.0,2414.6,2
106,493,WITHDRAWAL,23600.0,23600.0,1
117,197,WITHDRAWAL,12800.0,22254.0,2
129,393,WITHDRAWAL,302.0,302.0,1
132,415,WITHDRAWAL,3000.0,3014.6,2
142,427,WITHDRAWAL,5400.0,12300.0,2
154,218,WITHDRAWAL,14.6,56214.6,2
158,110,WITHDRAWAL,3050.0,15150.0,2
177,400,WITHDRAWAL,5400.0,5400.0,1
181,72,WITHDRAWAL,62300.0,62300.0,1
189,197,WITHDRAWAL,6600.0,6614.6,2
191,427,WITHDRAWAL,5520.0,24120.0,2
200,23,WITHDRAWAL,1600.0,1600.0,1
204,110,WITHDRAWAL,3500.0,3598.0,2
207,18,WITHDRAWAL,5100.0,5100.0,1
209,397,WITHDRAWAL,14.6,14414.6,2
210,493,WITHDRAWAL,14.6,14.6,1
216,33,WITHDRAWAL,18200.0,22092.0,2
223,26,WITHDRAWAL,14.6,14.6,1
224,415,WITHDRAWAL,2400.0,3240.0,2
228,8,WITHDRAWAL,6712.0,6712.0,1
236,517,WITHDRAWAL,8900.0,8900.0,1
239,180,WITHDRAWAL,1200.0,1200.0,1
257,498,WITHDRAWAL,2040.0,4934.6,3
258,376,WITHDRAWAL,12900.0,12900.0,1
290,102,WITHDRAWAL,6100.0,6100.0,1
296,463,WITHDRAWAL,14.6,11514.6,2
307,227,WITHDRAWAL,2700.0,22881.0,4
313,427,WITHDRAWAL,8166.0,8166.0,1
314,201,WITHDRAWAL,7600.0,24784.0,3
315,23,WITHDRAWAL,5807.0,5807.0,1
326,126,WITHDRAWAL,31700.0,31714.6,2
327,397,WITHDRAWAL,3400.0,3400.0,1
336,372,WITHDRAWAL,14.6,8114.6,2
357,18,WITHDRAWAL,30.0,30.0,1
361,347,WITHDRAWAL,18300.0,18300.0,1
368,245,WITHDRAWAL,14.6,14.6,1
371,126,WITHDRAWAL,1500.0,25584.0,3
398,372,WITHDRAWAL,8100.0,18180.0,2
399,462,WITHDRAWAL,8325.0,8325.0,1
400,43,WITHDRAWAL,6589.0,6589.0,1
427,141,WITHDRAWAL,1791.0,8507.0,2
429,33,WITHDRAWAL,18400.0,18400.0,1
442,99,WITHDRAWAL,4503.0,4503.0,1
475,517,WITHDRAWAL,14.6,14.6,1
476,524,WITHDRAWAL,12800.0,12800.0,1
484,445,WITHDRAWAL,9300.0,9300.0,1
486,167,WITHDRAWAL,5100.0,28200.0,4
487,126,WITHDRAWAL,7384.0,7384.0,1
510,314,WITHDRAWAL,13691.0,13691.0,1
515,106,WITHDRAWAL,14.6,14.6,1
517,22,WITHDRAWAL,6352.0,6352.0,1
518,524,WITHDRAWAL,14.6,14.6,1
520,15,WITHDRAWAL,14.6,14.6,1
523,427,WITHDRAWAL,14.6,14.6,1
525,400,WITHDRAWAL,5800.0,5800.0,1
534,468,WITHDRAWAL,720.0,2760.0,2
537,345,WITHDRAWAL,8819.0,8819.0,1
547,523,WITHDRAWAL,14.6,14.6,1
551,493,WITHDRAWAL,3720.0,3720.0,1
563,43,WITHDRAWAL,6589.0,24289.0,2
569,415,WITHDRAWAL,8740.0,8740.0,1
571,153,WITHDRAWAL,14.6,16614.6,2
579,158,WITHDRAWAL,32000.0,32000.0,1
581,339,WITHDRAWAL,30.0,30.0,1
583,43,WITHDRAWAL,6560.0,6560.0,1
596,347,WITHDRAWAL,6500.0,6500.0,1
617,472,WITHDRAWAL,14.6,1514.6,2
623,126,WITHDRAWAL,3000.0,31284.0,5
636,33,WITHDRAWAL,4400.0,4400.0,1
640,110,WITHDRAWAL,1080.0,5596.0,2
647,462,WITHDRAWAL,2280.0,2280.0,1
649,339,WITHDRAWAL,7500.0,7530.0,2
654,463,WITHDRAWAL,6385.0,6385.0,1
655,33,WITHDRAWAL,3892.0,3892.0,1
656,345,WITHDRAWAL,5600.0,5600.0,1
660,393,WITHDRAWAL,26700.0,26700.0,1
661,126,WITHDRAWAL,25200.0,25200.0,1
668,314,WITHDRAWAL,21500.0,21500.0,1
669,427,WITHDRAWAL,8166.0,25466.0,2
681,197,WITHDRAWAL,14.6,14.6,1
688,270,WITHDRAWAL,21700.0,21700.0,1
696,345,WITHDRAWAL,1500.0,10319.0,2
714,462,WITHDRAWAL,2800.0,2800.0,1
729,26,WITHDRAWAL,10300.0,10300.0,1
740,393,WITHDRAWAL,21800.0,21800.0,1
748,427,WITHDRAWAL,8166.0,25266.0,2
754,498,WITHDRAWAL,14.6,14.6,1
763,400,WITHDRAWAL,4100.0,4100.0,1
766,43,WITHDRAWAL,14.6,11714.6,2
773,99,WITHDRAWAL,5700.0,5700.0,1
774,26,WITHDRAWAL,10387.0,10387.0,1
782,213,WITHDRAWAL,8800.0,8800.0,1
788,26,WITHDRAWAL,14.6,5614.6,2
791,57,WITHDRAWAL,4107.0,4107.0,1
795,372,WITHDRAWAL,7785.0,7785.0,1
797,462,WITHDRAWAL,14.6,14.6,1
799,197,WITHDRAWAL,1800.0,1800.0,1
808,33,WITHDRAWAL,4500.0,9392.0,3
820,291,WITHDRAWAL,62.0,62.0,1
830,478,WITHDRAWAL,14.6,14.6,1
834,22,WITHDRAWAL,6352.0,6352.0,1
859,345,WITHDRAWAL,14.6,14.6,1
864,8,WITHDRAWAL,2640.0,2640.0,1
865,219,WITHDRAWAL,2040.0,2040.0,1
870,43,WITHDRAWAL,13300.0,13300.0,1
877,498,WITHDRAWAL,840.0,840.0,1
895,57,WITHDRAWAL,1600.0,1600.0,1
956,377,WITHDRAWAL,14.6,14.6,1
963,314,WITHDRAWAL,13691.0,13691.0,1
965,524,WITHDRAWAL,1000.0,1000.0,1
973,110,WITHDRAWAL,4516.0,25474.0,4
