Unnamed: 0,account_id,trans_type,amount,total_withdrawals_5d,num_withdrawals_5d,y_pred,y_scores
3,83,WITHDRAWAL,2280.0,2280.0,1,0,-0.3429505741219005
17,354,WITHDRAWAL,4771.0,4771.0,1,0,-0.3089819771780277
21,86,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
23,366,WITHDRAWAL,1914.0,1914.0,1,0,-0.3573110428674224
29,83,WITHDRAWAL,1120.0,1120.0,1,0,-0.3589932999052256
30,50,WITHDRAWAL,14.6,3414.6,2,0,-0.3790684065243853
46,401,WITHDRAWAL,1769.0,1769.0,1,0,-0.36117684720628457
50,39,WITHDRAWAL,145.0,145.0,1,0,-0.34787016143048605
52,279,WITHDRAWAL,630.0,630.0,1,0,-0.3313048772307364
58,97,WITHDRAWAL,15.0,18.0,2,0,-0.24774382807942985
59,50,WITHDRAWAL,1400.0,5700.0,2,0,-0.3482450353134921
63,165,WITHDRAWAL,14.6,5014.6,2,0,-0.3465336697041996
70,230,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
97,39,WITHDRAWAL,800.0,800.0,1,0,-0.3442359353196134
111,366,WITHDRAWAL,3188.0,5938.0,3,0,-0.27052658415895847
112,86,WITHDRAWAL,2160.0,3320.0,2,0,-0.37570661752070106
115,50,WITHDRAWAL,7024.0,7293.0,2,0,-0.331858047246672
123,27,WITHDRAWAL,700.0,700.0,1,0,-0.34425343219819804
126,259,WITHDRAWAL,1280.0,2280.0,2,0,-0.3890664679762896
155,35,WITHDRAWAL,2000.0,5760.0,3,0,-0.2728319138066244
160,389,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
171,154,WITHDRAWAL,3891.0,10391.0,2,0,-0.26786947868288813
172,401,WITHDRAWAL,3600.0,3600.0,1,0,-0.3520178846595234
173,496,WITHDRAWAL,1200.0,1200.0,1,0,-0.36157502704250405
206,300,WITHDRAWAL,1628.0,1628.0,1,0,-0.3785644841352435
234,473,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
237,35,WITHDRAWAL,1362.0,1362.0,1,0,-0.3822234442605984
241,183,WITHDRAWAL,2880.0,2880.0,1,0,-0.3496342982530529
246,381,WITHDRAWAL,4960.0,4960.0,1,0,-0.30193358775755236
250,401,WITHDRAWAL,1769.0,1769.0,1,0,-0.36117684720628457
251,165,WITHDRAWAL,2560.0,2560.0,1,0,-0.34641486117702297
265,183,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
274,97,WITHDRAWAL,2411.0,12420.0,3,0,-0.2064881218128074
281,467,WITHDRAWAL,2900.0,6800.0,2,0,-0.33744048316007547
299,370,WITHDRAWAL,840.0,840.0,1,0,-0.3488398784639815
300,35,WITHDRAWAL,14950.0,16312.0,2,0,-0.1319723138131942
303,235,WITHDRAWAL,150.0,150.0,1,0,-0.3473788813522437
304,473,WITHDRAWAL,2640.0,6952.0,3,0,-0.28859432166703025
308,381,WITHDRAWAL,7680.0,13380.0,2,0,-0.19918751799335677
317,97,WITHDRAWAL,11100.0,11100.0,1,0,-0.14655503384714275
319,381,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
320,183,WITHDRAWAL,3520.0,3520.0,1,0,-0.3553054853754562
330,154,WITHDRAWAL,4900.0,4914.6,2,0,-0.3422881799966437
335,279,WITHDRAWAL,780.0,780.0,1,0,-0.344335324419289
338,39,WITHDRAWAL,145.0,145.0,1,0,-0.34787016143048605
345,163,WITHDRAWAL,612.0,3728.0,2,0,-0.3730571286937556
346,35,WITHDRAWAL,5000.0,6362.0,2,0,-0.34459958954701436
372,165,WITHDRAWAL,2240.0,2240.0,1,0,-0.3465322295684162
373,50,WITHDRAWAL,269.0,269.0,1,0,-0.34844614305170507
380,183,WITHDRAWAL,8480.0,8480.0,1,0,-0.1933825288466171
382,287,WITHDRAWAL,5100.0,7444.0,3,0,-0.27345033418996645
387,154,WITHDRAWAL,3891.0,3891.0,1,0,-0.34872222445789863
389,163,WITHDRAWAL,3116.0,3116.0,1,0,-0.3574461696094752
391,216,WITHDRAWAL,1513.0,2999.0,2,0,-0.3818966058979001
425,401,WITHDRAWAL,1769.0,3929.0,2,0,-0.36943886648429425
446,163,WITHDRAWAL,3116.0,3116.0,1,0,-0.3574461696094752
449,183,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
450,354,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
460,287,WITHDRAWAL,1572.0,1572.0,1,0,-0.38134694015521414
464,287,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
466,287,WITHDRAWAL,1572.0,3972.0,2,0,-0.36995168137951007
471,165,WITHDRAWAL,2240.0,2240.0,1,0,-0.3465322295684162
479,207,WITHDRAWAL,3120.0,6370.0,4,0,-0.19608524390087245
481,225,WITHDRAWAL,2.0,3385.0,2,0,-0.3755164658265901
482,300,WITHDRAWAL,1628.0,1628.0,1,0,-0.3785644841352435
485,287,WITHDRAWAL,1572.0,1572.0,1,0,-0.38134694015521414
490,207,WITHDRAWAL,2726.0,3129.0,2,0,-0.3807865711715478
491,259,WITHDRAWAL,297.0,297.0,1,0,-0.3459879279013868
492,273,WITHDRAWAL,6300.0,16201.0,4,0,-0.09549933230679752
498,39,WITHDRAWAL,800.0,800.0,1,0,-0.3442359353196134
506,381,WITHDRAWAL,14.6,7614.6,2,0,-0.32415320061149633
507,39,WITHDRAWAL,2970.0,2970.0,1,0,-0.3545992629401237
530,381,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
542,340,WITHDRAWAL,917.0,917.0,1,0,-0.35932425927389416
543,473,WITHDRAWAL,7400.0,7400.0,1,0,-0.20976249582950635
564,183,WITHDRAWAL,752.0,752.0,1,0,-0.3463780087275025
568,259,WITHDRAWAL,1680.0,5737.0,4,0,-0.18717446479999067
577,35,WITHDRAWAL,1022.0,2384.0,2,0,-0.38941607429585356
580,381,WITHDRAWAL,2100.0,2100.0,1,0,-0.34927445313329913
584,389,WITHDRAWAL,3280.0,4164.0,2,0,-0.3671765453172765
585,389,WITHDRAWAL,1200.0,1200.0,1,0,-0.36157502704250405
593,401,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
597,50,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
603,35,WITHDRAWAL,6300.0,8684.0,3,0,-0.25797471583258935
606,207,WITHDRAWAL,403.0,403.0,1,0,-0.3384624372005065
609,273,WITHDRAWAL,1700.0,1700.0,1,0,-0.3641549756865057
611,208,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
614,389,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
638,381,WITHDRAWAL,6500.0,6500.0,1,0,-0.2381136396597784
657,467,WITHDRAWAL,2800.0,2800.0,1,0,-0.3519379813424051
658,408,WITHDRAWAL,4000.0,4000.0,1,0,-0.3445059130047694
662,300,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
663,208,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
671,461,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
677,86,WITHDRAWAL,1160.0,2162.0,2,0,-0.3880857826817306
679,401,WITHDRAWAL,4600.0,6369.0,2,0,-0.3437202964910923
680,230,WITHDRAWAL,5615.0,8200.0,3,0,-0.26342793854946733
690,39,WITHDRAWAL,145.0,145.0,1,0,-0.34787016143048605
711,163,WITHDRAWAL,2160.0,2160.0,1,0,-0.3520412233018257
730,165,WITHDRAWAL,2320.0,5760.0,3,0,-0.2728319138066244
731,408,WITHDRAWAL,1400.0,3414.6,3,0,-0.2847076394764688
733,50,WITHDRAWAL,7000.0,7000.0,1,0,-0.22120020692586162
735,370,WITHDRAWAL,672.0,887.0,2,0,-0.3060770661757531
743,506,WITHDRAWAL,107.0,107.0,1,0,-0.3521579578771983
745,154,WITHDRAWAL,1300.0,5191.0,2,0,-0.34628465518862833
746,151,WITHDRAWAL,7100.0,10179.0,3,0,-0.23390005423270654
751,97,WITHDRAWAL,3.0,3.0,1,0,-0.36603087002592793
768,216,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
810,279,WITHDRAWAL,14.6,644.6,2,0,-0.2832720807972978
835,160,WITHDRAWAL,2374.0,2374.0,1,0,-0.34754138908982146
846,496,WITHDRAWAL,1680.0,1680.0,1,0,-0.37180503983618873
849,279,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
856,235,WITHDRAWAL,1321.0,1321.0,1,0,-0.3764468878888464
861,408,WITHDRAWAL,5040.0,5040.0,1,0,-0.3057072337248419
869,35,WITHDRAWAL,1840.0,1854.6,2,0,-0.3725811125479878
871,408,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
876,104,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
880,381,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
884,259,WITHDRAWAL,297.0,3497.0,2,0,-0.37859737701001367
897,496,WITHDRAWAL,2880.0,2880.0,1,0,-0.3496342982530529
898,160,WITHDRAWAL,2880.0,2880.0,1,0,-0.3496342982530529
938,287,WITHDRAWAL,772.0,2344.0,2,0,-0.39076354947717845
941,408,WITHDRAWAL,5042.0,5042.0,1,0,-0.30637550427484606
942,163,WITHDRAWAL,612.0,3728.0,2,0,-0.3730571286937556
946,207,WITHDRAWAL,10.0,10.0,1,0,-0.38308752266567797
958,165,WITHDRAWAL,5600.0,5600.0,1,0,-0.28101681461879013
994,467,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
995,467,WITHDRAWAL,1200.0,3800.0,2,0,-0.37213043538199453
1003,104,WITHDRAWAL,690.0,1230.0,2,0,-0.3367969738666819
1005,216,WITHDRAWAL,4800.0,6286.0,2,0,-0.3455935428579046
1009,340,WITHDRAWAL,14.6,14.6,1,0,-0.427437902643803
1013,389,WITHDRAWAL,3280.0,4164.0,2,0,-0.3671765453172765
1024,207,WITHDRAWAL,403.0,403.0,1,0,-0.3384624372005065
1041,300,WITHDRAWAL,640.0,6770.0,4,0,-0.201193863045107
1048,300,WITHDRAWAL,1628.0,1628.0,1,0,-0.3785644841352435
1050,401,WITHDRAWAL,1769.0,10249.0,3,0,-0.23346198253549677
1055,183,WITHDRAWAL,752.0,752.0,1,0,-0.3463780087275025
1065,154,WITHDRAWAL,3891.0,3891.0,1,0,-0.34872222445789863
1066,151,WITHDRAWAL,2668.0,3079.0,2,0,-0.37911582196049576
1085,259,WITHDRAWAL,2857.0,4617.0,2,0,-0.34598480040262763
1086,354,WITHDRAWAL,1300.0,1300.0,1,0,-0.3737580497927084
1110,160,WITHDRAWAL,1320.0,1320.0,1,0,-0.3756291000499877
1113,389,WITHDRAWAL,1200.0,1200.0,1,0,-0.36157502704250405
1125,273,WITHDRAWAL,4700.0,4700.0,1,0,-0.30766615768390443
1127,163,WITHDRAWAL,612.0,3728.0,2,0,-0.3730571286937556
1129,461,WITHDRAWAL,1530.0,8530.0,2,0,-0.30290540683967493
